model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-8.141376375716662,0.48591065406799316,401.8200469017029,0.0005223751068115234,0.13156604766845703,2,True,5
WeightedEnsemble_L3,-8.186866345859821,0.77783203125,623.1587233543396,0.0005195140838623047,0.12766790390014648,3,True,10
CatBoost_BAG_L2,-8.208368485295072,0.5585317611694336,462.7497544288635,0.014896869659423828,4.965484619140625,2,True,6
CatBoost_BAG_L1,-8.237887241338655,0.03329944610595703,16.684394359588623,0.03329944610595703,16.684394359588623,1,True,1
NeuralNetFastAI_BAG_L1,-8.240721947349293,0.21258044242858887,108.15890264511108,0.21258044242858887,108.15890264511108,1,True,2
NeuralNetFastAI_BAG_L2,-8.271150960558018,0.6426706314086914,512.8299391269684,0.09903573989868164,55.04566931724548,2,True,7
NeuralNetTorch_BAG_L2,-8.28394620384043,0.6633799076080322,563.0199015140533,0.11974501609802246,105.23563170433044,2,True,9
NeuralNetTorch_BAG_L1,-8.30009444688049,0.23950839042663574,276.8451838493347,0.23950839042663574,276.8451838493347,1,True,4
XGBoost_BAG_L2,-8.390327332905088,0.5721909999847412,483.0489618778229,0.028556108474731445,25.264692068099976,2,True,8
XGBoost_BAG_L1,-8.438957839224866,0.058246612548828125,56.09578895568848,0.058246612548828125,56.09578895568848,1,True,3
XGBoost_BAG_L2_FULL,,,24.193490028381348,,0.3889734745025635,2,True,18
XGBoost_BAG_L1_FULL,,,0.8607535362243652,,0.8607535362243652,1,True,13
WeightedEnsemble_L3_FULL,,,39.71765947341919,,0.12766790390014648,3,True,20
WeightedEnsemble_L2_FULL,,,23.075329065322876,,0.13156604766845703,2,True,15
NeuralNetTorch_BAG_L2_FULL,,,33.858683586120605,,10.054167032241821,2,True,19
NeuralNetTorch_BAG_L1_FULL,,,17.401548385620117,,17.401548385620117,1,True,14
NeuralNetFastAI_BAG_L2_FULL,,,29.369357585906982,,5.564841032028198,2,True,17
NeuralNetFastAI_BAG_L1_FULL,,,5.065176725387573,,5.065176725387573,1,True,12
CatBoost_BAG_L2_FULL,,,23.970983505249023,,0.16646695137023926,2,True,16
CatBoost_BAG_L1_FULL,,,0.4770379066467285,,0.4770379066467285,1,True,11
